Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2025
Darebin,3072,Preston,B Property and deception offences,B40 Theft,3006
Darebin,3073,Reservoir,B Property and deception offences,B40 Theft,2172
Darebin,3070,Northcote,B Property and deception offences,B40 Theft,988
Darebin,3071,Thornbury,B Property and deception offences,B40 Theft,832
Darebin,3072,Preston,B Property and deception offences,B30 Burglary/Break and enter,556
Darebin,3073,Reservoir,B Property and deception offences,B30 Burglary/Break and enter,462
Darebin,3073,Reservoir,A Crimes against the person,A20 Assault and related offences,411
Darebin,3072,Preston,B Property and deception offences,B20 Property damage,405
Darebin,3073,Reservoir,E Justice procedures offences,E20 Breaches of orders,389
Darebin,3083,Bundoora,B Property and deception offences,B40 Theft,345
Darebin,3072,Preston,A Crimes against the person,A20 Assault and related offences,339
Darebin,3073,Reservoir,B Property and deception offences,B20 Property damage,339
Darebin,3072,Preston,B Property and deception offences,B50 Deception,293
Darebin,3078,Fairfield,B Property and deception offences,B40 Theft,281
Darebin,3072,Preston,E Justice procedures offences,E20 Breaches of orders,249
Darebin,3070,Northcote,B Property and deception offences,B30 Burglary/Break and enter,214
Darebin,3073,Reservoir,B Property and deception offences,B50 Deception,199
Darebin,3072,Preston,C Drug offences,C30 Drug use and possession,172
Darebin,3071,Thornbury,B Property and deception offences,B30 Burglary/Break and enter,166
Darebin,3078,Alphington,B Property and deception offences,B40 Theft,161
Darebin,3070,Northcote,B Property and deception offences,B20 Property damage,156
Darebin,3071,Thornbury,B Property and deception offences,B20 Property damage,147
Darebin,3073,Reservoir,C Drug offences,C30 Drug use and possession,141
Darebin,3083,Kingsbury,B Property and deception offences,B40 Theft,139
Darebin,3072,Preston,D Public order and security offences,D10 Weapons and explosives offences,132
Darebin,3073,Reservoir,D Public order and security offences,D10 Weapons and explosives offences,113
Darebin,3071,Thornbury,A Crimes against the person,A20 Assault and related offences,93
Darebin,3070,Northcote,A Crimes against the person,A20 Assault and related offences,89
Darebin,3073,Reservoir,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",81
Darebin,3071,Thornbury,E Justice procedures offences,E20 Breaches of orders,77
Darebin,3073,Reservoir,E Justice procedures offences,E10 Justice procedures,75
Darebin,3070,Northcote,E Justice procedures offences,E20 Breaches of orders,71
Darebin,3072,Preston,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",70
Darebin,3072,Preston,E Justice procedures offences,E10 Justice procedures,68
Darebin,3072,Preston,A Crimes against the person,Other crimes against the person,64
Darebin,3073,Reservoir,A Crimes against the person,Other crimes against the person,58
Darebin,3072,Preston,A Crimes against the person,A80 Dangerous and negligent acts endangering people,54
Darebin,3073,Reservoir,A Crimes against the person,A80 Dangerous and negligent acts endangering people,53
Darebin,3078,Fairfield,B Property and deception offences,B30 Burglary/Break and enter,50
Darebin,3071,Thornbury,B Property and deception offences,B50 Deception,46
Darebin,3070,Northcote,B Property and deception offences,B50 Deception,45
Darebin,3072,Preston,A Crimes against the person,A50 Robbery,44
Darebin,3083,Bundoora,B Property and deception offences,B30 Burglary/Break and enter,43
Darebin,3078,Fairfield,B Property and deception offences,B20 Property damage,34
Darebin,3073,Reservoir,B Property and deception offences,B10 Arson,34
Darebin,3072,Preston,C Drug offences,C20 Cultivate or manufacture drugs,31
Darebin,3078,Alphington,B Property and deception offences,B30 Burglary/Break and enter,30
Darebin,3083,Kingsbury,B Property and deception offences,B30 Burglary/Break and enter,30
Darebin,3072,Preston,C Drug offences,C10 Drug dealing and trafficking,30
Darebin,3085,Macleod,B Property and deception offences,B40 Theft,30
Darebin,3078,Fairfield,A Crimes against the person,A20 Assault and related offences,29
Darebin,3083,Bundoora,B Property and deception offences,B50 Deception,28
Darebin,3073,Reservoir,A Crimes against the person,A50 Robbery,27
Darebin,3073,Reservoir,C Drug offences,C20 Cultivate or manufacture drugs,27
Darebin,3071,Thornbury,A Crimes against the person,Other crimes against the person,27
Darebin,3072,Preston,D Public order and security offences,D20 Disorderly and offensive conduct,27
Darebin,3083,Kingsbury,A Crimes against the person,A20 Assault and related offences,26
Darebin,3083,Bundoora,B Property and deception offences,B20 Property damage,26
Darebin,3078,Fairfield,B Property and deception offences,B50 Deception,26
Darebin,3073,Reservoir,D Public order and security offences,D30 Public nuisance offences,24
Darebin,3070,Northcote,A Crimes against the person,Other crimes against the person,24
Darebin,3070,Northcote,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",24
Darebin,3070,Northcote,C Drug offences,C30 Drug use and possession,23
Darebin,3078,Fairfield,E Justice procedures offences,E20 Breaches of orders,23
Darebin,3083,Bundoora,A Crimes against the person,A20 Assault and related offences,23
Darebin,3073,Reservoir,C Drug offences,C10 Drug dealing and trafficking,22
Darebin,3072,Preston,D Public order and security offences,D30 Public nuisance offences,21
Darebin,3072,Preston,B Property and deception offences,B10 Arson,20
Darebin,3083,Kingsbury,B Property and deception offences,B20 Property damage,16
Darebin,3071,Thornbury,C Drug offences,C30 Drug use and possession,16
Darebin,3071,Thornbury,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",16
Darebin,3078,Alphington,B Property and deception offences,B20 Property damage,15
Darebin,3083,Kingsbury,B Property and deception offences,B50 Deception,14
Darebin,3071,Thornbury,A Crimes against the person,A80 Dangerous and negligent acts endangering people,12
Darebin,3070,Northcote,A Crimes against the person,A50 Robbery,12
Darebin,3073,Reservoir,D Public order and security offences,D20 Disorderly and offensive conduct,12
Darebin,3085,Macleod,B Property and deception offences,B30 Burglary/Break and enter,11
Darebin,3071,Thornbury,B Property and deception offences,B10 Arson,11
Darebin,3070,Northcote,D Public order and security offences,D10 Weapons and explosives offences,11
Darebin,3083,Kingsbury,E Justice procedures offences,E20 Breaches of orders,11
Darebin,3083,Bundoora,E Justice procedures offences,E20 Breaches of orders,11
Darebin,3071,Thornbury,D Public order and security offences,D30 Public nuisance offences,11
Darebin,3071,Thornbury,A Crimes against the person,A50 Robbery,11
Darebin,3071,Thornbury,D Public order and security offences,D10 Weapons and explosives offences,10
Darebin,3083,Kingsbury,C Drug offences,C30 Drug use and possession,10
Darebin,3083,Bundoora,C Drug offences,C30 Drug use and possession,9
Darebin,3071,Thornbury,E Justice procedures offences,E10 Justice procedures,9
Darebin,3078,Fairfield,A Crimes against the person,Other crimes against the person,8
Darebin,3085,Macleod,E Justice procedures offences,E20 Breaches of orders,8
Darebin,3083,Bundoora,A Crimes against the person,Other crimes against the person,8
Darebin,3070,Northcote,A Crimes against the person,A80 Dangerous and negligent acts endangering people,7
Darebin,3083,Kingsbury,A Crimes against the person,Other crimes against the person,7
Darebin,3070,Northcote,E Justice procedures offences,E10 Justice procedures,7
Darebin,3078,Fairfield,E Justice procedures offences,E10 Justice procedures,6
Darebin,3083,Bundoora,D Public order and security offences,D10 Weapons and explosives offences,6
Darebin,3078,Alphington,B Property and deception offences,B50 Deception,6
Darebin,3070,Northcote,D Public order and security offences,D30 Public nuisance offences,6
Darebin,3083,Kingsbury,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",6
Darebin,3078,Alphington,E Justice procedures offences,E20 Breaches of orders,5
Darebin,3085,Macleod,A Crimes against the person,A20 Assault and related offences,5
Darebin,3078,Alphington,C Drug offences,C30 Drug use and possession,5
Darebin,3083,Bundoora,E Justice procedures offences,E10 Justice procedures,5
Darebin,3085,Macleod,B Property and deception offences,B20 Property damage,5
Darebin,3078,Fairfield,A Crimes against the person,A50 Robbery,4
Darebin,3070,Northcote,B Property and deception offences,B10 Arson,4
Darebin,3083,Kingsbury,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4
Darebin,3083,Bundoora,C Drug offences,C20 Cultivate or manufacture drugs,4
Darebin,3083,Kingsbury,B Property and deception offences,B10 Arson,4
Darebin,3071,Thornbury,C Drug offences,C20 Cultivate or manufacture drugs,4
Darebin,3071,Thornbury,D Public order and security offences,D20 Disorderly and offensive conduct,4
Darebin,3078,Fairfield,C Drug offences,C30 Drug use and possession,4
Darebin,3083,Kingsbury,D Public order and security offences,D10 Weapons and explosives offences,4
Darebin,3085,Macleod,B Property and deception offences,B50 Deception,4
Darebin,3070,Northcote,D Public order and security offences,D20 Disorderly and offensive conduct,4
Darebin,3083,Bundoora,D Public order and security offences,D30 Public nuisance offences,3
Darebin,3070,Northcote,C Drug offences,C20 Cultivate or manufacture drugs,3
Darebin,3078,Alphington,A Crimes against the person,Other crimes against the person,3
Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,3
Darebin,3083,Kingsbury,E Justice procedures offences,E10 Justice procedures,3
Darebin,3083,Bundoora,B Property and deception offences,B10 Arson,3
Darebin,3083,Bundoora,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",3
Darebin,3083,Kingsbury,A Crimes against the person,A50 Robbery,3
Darebin,3083,Bundoora,A Crimes against the person,A80 Dangerous and negligent acts endangering people,3
Darebin,3078,Fairfield,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",3
Darebin,3078,Alphington,A Crimes against the person,A80 Dangerous and negligent acts endangering people,2
Darebin,3083,Bundoora,F Other offences,F30 Other government regulatory offences,2
Darebin,3085,Macleod,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2
Darebin,3070,Northcote,F Other offences,F20 Transport regulation offences,2
Darebin,3078,Alphington,A Crimes against the person,A20 Assault and related offences,2
Darebin,3083,Bundoora,A Crimes against the person,A50 Robbery,2
Darebin,3078,Alphington,D Public order and security offences,D10 Weapons and explosives offences,2
Darebin,3078,Alphington,A Crimes against the person,A50 Robbery,2
Darebin,3072,Preston,F Other offences,F90 Miscellaneous offences,2
Darebin,3078,Fairfield,B Property and deception offences,B10 Arson,2
Darebin,3071,Thornbury,C Drug offences,C10 Drug dealing and trafficking,2
Darebin,3083,Kingsbury,C Drug offences,C10 Drug dealing and trafficking,2
Darebin,3078,Fairfield,D Public order and security offences,D20 Disorderly and offensive conduct,2
Darebin,3078,Alphington,D Public order and security offences,D20 Disorderly and offensive conduct,1
Darebin,3078,Fairfield,C Drug offences,C10 Drug dealing and trafficking,1
Darebin,3072,Preston,F Other offences,F20 Transport regulation offences,1
Darebin,3085,Macleod,D Public order and security offences,D30 Public nuisance offences,1
Darebin,3078,Fairfield,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Darebin,3078,Alphington,C Drug offences,C20 Cultivate or manufacture drugs,1
Darebin,3071,Thornbury,F Other offences,F20 Transport regulation offences,1
Darebin,3078,Alphington,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
Darebin,3073,Reservoir,F Other offences,F30 Other government regulatory offences,1
Darebin,3083,Kingsbury,D Public order and security offences,D20 Disorderly and offensive conduct,1
Darebin,3083,Kingsbury,C Drug offences,C20 Cultivate or manufacture drugs,1
Darebin,3078,Fairfield,D Public order and security offences,D10 Weapons and explosives offences,1
Darebin,3078,Alphington,B Property and deception offences,B10 Arson,1
Darebin,3083,Bundoora,D Public order and security offences,D40 Public security offences,1
Darebin,3078,Fairfield,F Other offences,F20 Transport regulation offences,1
Darebin,3085,Macleod,E Justice procedures offences,E10 Justice procedures,1
Darebin,3070,Northcote,C Drug offences,C10 Drug dealing and trafficking,1
Darebin,3073,Reservoir,F Other offences,F20 Transport regulation offences,1
Darebin,3085,Macleod,A Crimes against the person,Other crimes against the person,1
